City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Talaya,RU,2022-04-10 00:59:22,61.3833,152.75,6.04,81,100,7.16
266,Rantepao,ID,2022-04-10 00:59:23,-2.9701,119.8978,77.56,66,65,1.14
267,Corn Island,NI,2022-04-10 00:59:23,12.1694,-83.0418,81.39,75,96,22.5
268,Meulaboh,ID,2022-04-10 00:59:23,4.1363,96.1285,78.66,86,51,2.42
269,Tarrega,ES,2022-04-10 00:59:23,41.647,1.1396,52.14,92,100,4.72
270,Chor,PK,2022-04-10 00:59:24,25.5167,69.7667,77.99,60,97,9.42
271,Thornbury,GB,2022-04-10 00:59:24,52.2333,-2.55,36.68,87,98,0.89
272,Garmsar,IR,2022-04-10 00:59:25,35.2182,52.3409,66.69,30,1,4.43
273,Killybegs,IE,2022-04-10 00:59:25,54.6333,-8.45,41.61,77,100,8.72
274,Caravelas,BR,2022-04-10 00:59:25,-17.7125,-39.2481,76.17,83,10,5.73
275,Zabaykalsk,RU,2022-04-10 00:59:25,49.6333,117.3167,35.8,88,100,14.56
276,Beringovskiy,RU,2022-04-10 00:59:26,63.05,179.3167,34.09,83,77,24.4
277,Tongling,CN,2022-04-10 00:59:26,30.95,117.7833,73.99,46,100,5.08
278,Srandakan,ID,2022-04-10 00:59:26,-7.9386,110.2506,80.37,77,100,1.34
279,Agadez,NE,2022-04-10 00:59:27,19.75,10.25,81.93,7,0,9.91
280,Westport,US,2022-04-10 00:59:27,41.1415,-73.3579,49.89,76,11,3.0
281,Carauari,BR,2022-04-10 00:55:31,-4.8828,-66.8958,74.55,97,100,2.68
282,Chokurdakh,RU,2022-04-10 01:00:28,70.6333,147.9167,-5.75,94,98,4.27
283,Bengkulu,ID,2022-04-10 01:00:28,-3.8004,102.2655,80.01,76,45,2.28
284,Eaton Socon,GB,2022-04-10 01:00:28,52.2175,-0.2893,39.02,85,36,3.85
285,Lebu,CL,2022-04-10 01:00:29,-37.6167,-73.65,50.94,82,2,2.42
286,Mandalgovi,MN,2022-04-10 01:00:29,45.7625,106.2708,39.81,44,100,8.79
287,Mecca,SA,2022-04-10 00:59:37,21.4267,39.8261,81.09,31,0,5.93
288,Tasiilaq,GL,2022-04-10 01:00:29,65.6145,-37.6368,24.96,92,91,3.65
289,Boende,CD,2022-04-10 01:00:30,-0.2167,20.8667,69.98,98,100,3.38
290,Vardo,NO,2022-04-10 01:00:30,70.3705,31.1107,35.35,80,19,19.89
291,Emborion,GR,2022-04-10 01:00:30,40.4833,21.55,46.76,79,99,5.84
